place_id,name,adm0name,latitude_deg,longitude_deg,population,rank_max,source
_Khiwa,Khiwa,Uzbekistan,41.391129,60.355737,149751.0,9,natural_earth_populated_places
_Carora,Carora,Venezuela,10.189984,-70.079997,149711.0,9,natural_earth_populated_places
_Tirgu Mures,Tirgu Mures,Romania,46.558203,24.557819,149433.0,9,natural_earth_populated_places
_Schenectady,Schenectady,United States of America,42.814582,-73.939968,149255.0,9,natural_earth_populated_places
_Elkhart,Elkhart,United States of America,41.682945,-85.968794,149190.0,9,natural_earth_populated_places
_Perugia,Perugia,Italy,43.110378,12.389983,149125.0,9,natural_earth_populated_places
_Gejiu,Gejiu,China,23.37998,103.150076,149105.0,9,natural_earth_populated_places
_Santa Cruz,Santa Cruz,United States of America,36.971946,-122.02639,148444.0,9,natural_earth_populated_places
_Gyumri,Gyumri,Armenia,40.789434,43.847494,148381.0,9,natural_earth_populated_places
_Palangkaraya,Palangkaraya,Indonesia,-2.209595,113.909987,148289.0,9,natural_earth_populated_places
_Jiayuguan,Jiayuguan,China,39.82001,98.299984,148279.0,9,natural_earth_populated_places
_Hamilton,Hamilton,New Zealand,-37.778269,175.289578,148200.0,9,natural_earth_populated_places
_Yala,Yala,Thailand,6.55049,101.285073,148140.0,9,natural_earth_populated_places
_Independence,Independence,United States of America,39.091114,-94.415281,148102.0,9,natural_earth_populated_places
_Diourbel,Diourbel,Senegal,14.660383,-16.240001,148024.0,9,natural_earth_populated_places
_Lạng Sơn,Lạng Sơn,Vietnam,21.845997,106.757002,148000.0,9,natural_earth_populated_places
_Jijel,Jijel,Algeria,36.821997,5.766004,148000.0,9,natural_earth_populated_places
_Trang,Trang,Thailand,7.5634,99.608018,147820.0,9,natural_earth_populated_places
_Turbat,Turbat,Pakistan,25.991784,63.071798,147791.0,9,natural_earth_populated_places
_Médéa,Médéa,Algeria,36.270407,2.770001,147707.0,9,natural_earth_populated_places
_Kolomna,Kolomna,Russia,55.079983,38.78496,147690.0,9,natural_earth_populated_places
_San Juan del Río,San Juan del Río,Mexico,20.379982,-100.000031,147559.0,9,natural_earth_populated_places
_Mangyshlak,Mangyshlak,Kazakhstan,43.690455,51.141736,147443.0,9,natural_earth_populated_places
_El Progreso,El Progreso,Guatemala,14.922294,-90.016208,147197.0,9,natural_earth_populated_places
_Trondheim,Trondheim,Norway,63.416657,10.416666,147139.0,9,natural_earth_populated_places
_Man,Man,Ivory Coast,7.400413,-7.549989,146974.0,9,natural_earth_populated_places
_Wamba,Wamba,Congo (Kinshasa),2.140424,27.98996,146871.0,9,natural_earth_populated_places
_Gulu,Gulu,Uganda,2.779997,32.280034,146858.0,9,natural_earth_populated_places
_Aix-en-Provence,Aix-en-Provence,France,43.519991,5.449993,146821.0,9,natural_earth_populated_places
_Willemstad,Willemstad,Curacao,12.11229,-68.872356,146813.0,9,natural_earth_populated_places
_Gharyan,Gharyan,Libya,32.170374,13.01997,146810.0,9,natural_earth_populated_places
_Ambala,Ambala,India,30.377311,76.791822,146787.0,9,natural_earth_populated_places
_Cam Ranh,Cam Ranh,Vietnam,11.902024,109.220661,146771.0,9,natural_earth_populated_places
_Ibarra,Ibarra,Ecuador,0.360377,-78.129996,146741.0,9,natural_earth_populated_places
_Matanzas,Matanzas,Cuba,23.041525,-81.577486,146733.0,9,natural_earth_populated_places
_Bryan,Bryan,United States of America,30.674186,-96.369684,146692.0,9,natural_earth_populated_places
_Perpignan,Perpignan,France,42.699989,2.899967,146620.0,9,natural_earth_populated_places
_Poços de Caldas,Poços de Caldas,Brazil,-21.780029,-46.569985,146588.0,9,natural_earth_populated_places
_Tabora,Tabora,Tanzania,-5.020018,32.800003,146495.0,9,natural_earth_populated_places
_Dar'a,Dar'a,Syria,32.625,36.105004,146481.0,9,natural_earth_populated_places
_Brugge,Brugge,Belgium,51.220374,3.230025,146469.0,9,natural_earth_populated_places
_Vallejo,Vallejo,United States of America,38.111949,-122.258052,146289.0,9,natural_earth_populated_places
_Cabo de Santo Agostinho,Cabo de Santo Agostinho,Brazil,-8.289999,-35.029991,146219.0,9,natural_earth_populated_places
_Dawei,Dawei,Myanmar,14.097962,98.194978,146212.0,9,natural_earth_populated_places
_Hanzhong,Hanzhong,China,33.129979,107.029994,145986.0,9,natural_earth_populated_places
_Krishnanagar,Krishnanagar,India,23.380342,88.530038,145926.0,9,natural_earth_populated_places
_La Ceiba,La Ceiba,Honduras,15.763106,-86.796987,145926.0,9,natural_earth_populated_places
_Podgorica,Podgorica,Montenegro,42.465972,19.266307,145850.0,9,natural_earth_populated_places
_Ayutthaya,Ayutthaya,Thailand,14.358799,100.568424,145615.0,9,natural_earth_populated_places
_Quchan,Quchan,Iran,37.111829,58.501483,145531.0,9,natural_earth_populated_places
_Pointe-à-Pitre,Pointe-à-Pitre,France,16.241475,-61.532999,145511.0,9,natural_earth_populated_places
_Biarritz,Biarritz,France,43.473275,-1.561595,145348.0,9,natural_earth_populated_places
_Los Angeles,Los Angeles,Chile,-37.479741,-72.346924,145239.0,9,natural_earth_populated_places
_Concordia,Concordia,Argentina,-31.389571,-58.029983,145210.0,9,natural_earth_populated_places
_Machakos,Machakos,Kenya,-1.509535,37.259989,144925.0,9,natural_earth_populated_places
