starlink_gateway,latitude_deg,longitude_deg,portfolio,nearest_argus_km
"Calverton, NY",40.9089,-72.7976,WorldPop + geopolitical constraint,432.5495974758056
"Camaçari, Brazil",-12.6996,-38.3263,Uniform baseline,4638.757550267485
"Camaçari, Brazil",-12.6996,-38.3263,WorldPop baseline,4328.5617881299195
"Camaçari, Brazil",-12.6996,-38.3263,Uniform + geopolitical constraint,2664.6078086121856
"Camaçari, Brazil",-12.6996,-38.3263,WorldPop + geopolitical constraint,197.74330404152929
"Canyonleigh, Australia",-34.5333,150.2,Uniform baseline,1063.915822174487
"Canyonleigh, Australia",-34.5333,150.2,WorldPop baseline,7753.736059461742
"Canyonleigh, Australia",-34.5333,150.2,Uniform + geopolitical constraint,988.7457195019324
"Canyonleigh, Australia",-34.5333,150.2,WorldPop + geopolitical constraint,6264.67104024634
"Cass County, ND",46.93,-97.25,Uniform baseline,570.925743031867
"Cass County, ND",46.93,-97.25,WorldPop baseline,7007.0938991127
"Cass County, ND",46.93,-97.25,Uniform + geopolitical constraint,570.925743031867
"Cass County, ND",46.93,-97.25,WorldPop + geopolitical constraint,777.1265692756521
"Cataby, Australia",-30.75,115.5333,Uniform baseline,1505.6491196309505
"Cataby, Australia",-30.75,115.5333,WorldPop baseline,6581.397297072552
"Cataby, Australia",-30.75,115.5333,Uniform + geopolitical constraint,1505.6491196309505
"Cataby, Australia",-30.75,115.5333,WorldPop + geopolitical constraint,4383.032834122018
"Centennial, CO",39.5919,-104.8469,Uniform baseline,1096.033893213801
"Centennial, CO",39.5919,-104.8469,WorldPop baseline,8019.229428358735
"Centennial, CO",39.5919,-104.8469,Uniform + geopolitical constraint,1096.033893213801
"Centennial, CO",39.5919,-104.8469,WorldPop + geopolitical constraint,756.8770093534062
"Chalfont Grove, UK",51.6167,-0.5667,Uniform baseline,1200.007426647292
"Chalfont Grove, UK",51.6167,-0.5667,WorldPop baseline,518.5576854930987
"Chalfont Grove, UK",51.6167,-0.5667,Uniform + geopolitical constraint,1200.007426647292
"Chalfont Grove, UK",51.6167,-0.5667,WorldPop + geopolitical constraint,518.5576854930987
"Chantilly, VA",38.9102,-77.4727,Uniform baseline,581.2688832994368
"Chantilly, VA",38.9102,-77.4727,WorldPop baseline,6310.487584262112
"Chantilly, VA",38.9102,-77.4727,Uniform + geopolitical constraint,1909.4532715869689
"Chantilly, VA",38.9102,-77.4727,WorldPop + geopolitical constraint,579.085671132013
"Chapel Hill, NC",35.8958,-79.2267,Uniform baseline,650.487149505108
"Chapel Hill, NC",35.8958,-79.2267,WorldPop baseline,6584.964415102828
"Chapel Hill, NC",35.8958,-79.2267,Uniform + geopolitical constraint,2226.747885228
"Chapel Hill, NC",35.8958,-79.2267,WorldPop + geopolitical constraint,941.9777347455556
"Charcas, Mexico",23.1314,-101.1136,Uniform baseline,2928.5316761678982
"Charcas, Mexico",23.1314,-101.1136,WorldPop baseline,9120.549503071366
"Charcas, Mexico",23.1314,-101.1136,Uniform + geopolitical constraint,2928.5316761678982
"Charcas, Mexico",23.1314,-101.1136,WorldPop + geopolitical constraint,633.043895778184
"Charleston, SC",32.7765,-79.9311,Uniform baseline,810.8743727293839
"Charleston, SC",32.7765,-79.9311,WorldPop baseline,6792.0095689558575
"Charleston, SC",32.7765,-79.9311,Uniform + geopolitical constraint,2499.597535210696
"Charleston, SC",32.7765,-79.9311,WorldPop + geopolitical constraint,1293.7473997031746
"Chaska, MN",44.851,-93.598,Uniform baseline,814.329521009827
"Chaska, MN",44.851,-93.598,WorldPop baseline,6952.246649976715
"Chaska, MN",44.851,-93.598,Uniform + geopolitical constraint,814.329521009827
"Chaska, MN",44.851,-93.598,WorldPop + geopolitical constraint,574.2343984562351
"Chattanooga, TN",35.0317,-85.2975,Uniform baseline,1207.3849861632937
"Chattanooga, TN",35.0317,-85.2975,WorldPop baseline,7121.674097291182
"Chattanooga, TN",35.0317,-85.2975,Uniform + geopolitical constraint,2069.652264893013
"Chattanooga, TN",35.0317,-85.2975,WorldPop + geopolitical constraint,1092.5728105731982
"Chicago, IL",41.8414,-87.6711,Uniform baseline,1292.6951956639198
"Chicago, IL",41.8414,-87.6711,WorldPop baseline,6809.204441367484
"Chicago, IL",41.8414,-87.6711,Uniform + geopolitical constraint,1292.6951956639198
"Chicago, IL",41.8414,-87.6711,WorldPop + geopolitical constraint,728.7918799693089
"Chico, CA",39.7754,-121.9199,Uniform baseline,1209.7421667734695
"Chico, CA",39.7754,-121.9199,WorldPop baseline,8894.915529722775
