name,latitude_deg,longitude_deg,status,excluded_zone,geopolitical_allowed_by_argus_rule
"Virginia Beach, VA",36.7838,-76.0093,operational,,True
"Wagin, Australia",-33.3167,117.35,operational,,True
"Wailuku, HI",20.9005,-156.5046,operational,,True
"Warra, Australia",-26.9833,150.9333,operational,,True
"Warren, MO",38.7728,-91.1643,operational,,True
"Watkins, CO",39.7582,-104.617,operational,,True
"Weehawken, NJ",40.7616,-74.0253,operational,,True
"Wellington, UT",39.5401,-110.6928,operational,,True
"West Jordan, UT",40.6198,-111.9863,operational,,True
"Westbury, NY",40.7559,-73.5579,operational,,True
"Westminster, CO",39.8845,-105.0802,operational,,True
"Willemstad, Curaçao",12.1696,-68.99,operational,venezuela,False
"Wise, VA",36.977333,-82.528,operational,,True
"Wola Krobowska, Poland",50.35,20.55,operational,russia_belarus,False
"Yamaguchi, Japan",34.1861,131.4706,operational,china,False
